시도,군구,주소,충전소명,기종(대),충전기타입,이용자제한
경기,광명시,경기도 광명시 오리로287,광명시 오리서원,완속,AC완속,이용가능
경기,광명시,경기도 광명시 오리로397번길 18,소하개운고층아파트,완속,AC완속,이용가능
경기,광명시,"경기도 광명시 오리로397번길 18 (소하동, 개운아파트)",소하동개운고층아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 오리로854번길 10,광명시 열린시민청,완속,AC완속,이용가능
경기,광명시,경기도 광명시 원광명안로 48,광명시 광명도서관,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 일직로 17,이케아 광명점(회원전용),완속,AC완속,이용자제한
경기,광명시,경기도 광명시 일직로 40,코스트코 광명점,완속,AC완속,이용가능
경기,광명시,경기도 광명시 일직로 40,코스트코광명점제2주차장,완속,AC완속,이용가능
경기,광명시,경기도 광명시 일직로 43,광명GIDC 지식산업센터,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 일직로12번길 22,라까사호텔광명,완속,AC완속,이용가능
경기,광명시,경기도 광명시 철망산로 2,광명시 평생학습원,급속,DC차데모+DC콤보,이용가능
경기,광명시,경기도 광명시 철망산로 2,광명시청평생교육사업소,급속,DC차데모+AC3상+DC콤보,이용자제한
경기,광명시,경기도 광명시 철망산로 46,하안도서관,급속,DC콤보,이용가능
경기,광명시,"경기도 광명시 철산로 13-12 (철산동, 쌍마한신아파트)",광명 쌍마한신아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 철산로 3-13,광명지사(공용),급속,DC콤보,이용가능
경기,광명시,경기도 광명시 철산로 3-13,광명지사,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 철산로 56,광명시 철산도서관,급속,DC차데모+AC3상+DC콤보,이용가능
경기,광명시,경기도 광명시 철산로 56 ,광명시 철산3동 주민센터,완속,AC완속,이용가능
경기,광명시,경기도 광명시 하안동 오리로 801,e편한세상센트레빌1단지,급속,DC차데모+AC3상+DC콤보,이용자제한
경기,광명시,경기도 광명시 하안동 오리로 801,e편한세상센트레빌2단지,급속,DC차데모+AC3상+DC콤보,이용자제한
경기,광명시,경기도 광명시 하안동 오리로 801,e편한세상센트레빌3단지,급속,DC차데모+AC3상+DC콤보,이용자제한
경기,광명시,경기도 광명시 하안로 154,소하동금호어울림아파트입주자대표회의,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 하안로 154,금호어울림아파트(광명),완속,AC완속,이용자제한
경기,광명시,"경기도 광명시 하안로 154 (소하동, 금호어울림아파트)",소하동금호어울림아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 하안로 180-14,광명소하동우림필유아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 하안로 180-14,광명소하우림필유아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 하안로 198,소하동양2차아파트,완속,AC완속,이용자제한
경기,광명시,경기도 광명시 하안로 198,경기광명 소하동양2차아파트,완속,AC완속,이용가능
경기,광명시,경기도 광명시 하안로 198,소하동양아파트입주자대표회의1,완속,AC완속,이용가능
경기,광명시,경기도 광명시 하안로 204,광명소하동양101동,완속,AC완속,이용가능
경기,광명시,경기도 광명시 하안로 60,광명SK테크노파크,완속,AC완속,이용자제한
